,id,desc
0,p02779.html,"
 Problem Statement Given is a sequence of integers  A_1, A_2, ..., A_N .
If its elements are pairwise distinct, print  YES ; otherwise, print  NO . 
 
 
 
 
 Constraints 
 2 ≤ N ≤ 200000 
 1 ≤ A_i ≤ 10^9 
 All values in input are integers. 
 
 
 
 
 
 
 
 Input Input is given from Standard Input in the following format: 
 N 
 A_1   ...   A_N 
 
 
 
 
 
 Output If the elements of the sequence are pairwise distinct, print  YES ; otherwise, print  NO . 
 
 
 
 
 
 
 "
1,p02707.html,"
 Problem Statement A company has  N  members, who are assigned ID numbers  1, ..., N . 
 Every member, except the member numbered  1 , has exactly one immediate boss with a smaller ID number. 
 When a person  X  is the immediate boss of a person  Y , the person  Y  is said to be an immediate subordinate of the person  X . 
 You are given the information that the immediate boss of the member numbered  i  is the member numbered  A_i . For each member, find how many immediate subordinates it has. 
 
 
 
 
 Constraints 
 2 \leq N \leq 2 \times 10^5 
 1 \leq A_i < i 
 
 
 
 
 
 
 
 Input Input is given from Standard Input in the following format: 
 N 
 A_2   ...   A_N 
 
 
 
 
 
 Output For each of the members numbered  1, 2, ..., N , print the number of immediate subordinates it has, in its own line. 
 
 
 
 
 
 
 "
2,p02771.html,"
 Problem Statement 
 A triple of numbers is said to be  poor  when two of those numbers are equal but the other number is different from those two numbers. 
 You will be given three integers  A ,  B , and  C . If this triple is poor, print  Yes ; otherwise, print  No . 
 
 
 
 
 Constraints 
 
 A ,  B , and  C  are all integers between  1  and  9  (inclusive). 
 
 
 
 
 
 
 
 Input 
 Input is given from Standard Input in the following format: 
 A   B   C 
 
 
 
 
 
 Output 
 If the given triple is poor, print  Yes ; otherwise, print  No . 
 
 
 
 
 
 
 "
3,p02417.html,"
 Counting Characters 
 
  Write a program which counts and reports the number of each alphabetical letter. Ignore the case of characters.
 
 Input 
 
  A sentence in English is given in several lines.
 
 Output 
 
  Prints the number of alphabetical letters in the following format:
 
 
a :  The number of 'a' 
b :  The number of 'b' 
c :  The number of 'c' 
  .
  .
z :  The number of 'z' 
 
 Constraints 
 
 The number of characters in the sentence < 1200 
 
 "
4,p04030.html,"
 Problem Statement Sig has built his own keyboard. Designed for ultimate simplicity, this keyboard only has  3  keys on it: the  0  key, the  1  key and the backspace key. 
 To begin with, he is using a plain text editor with this keyboard. This editor always displays one string (possibly empty). Just after the editor is launched, this string is empty. When each key on the keyboard is pressed, the following changes occur to the string: 
 
 The  0  key: a letter  0  will be inserted to the right of the string. 
 The  1  key: a letter  1  will be inserted to the right of the string. 
 The backspace key: if the string is empty, nothing happens. Otherwise, the rightmost letter of the string is deleted. 
 
 Sig has launched the editor, and pressed these keys several times. You are given a string  s , which is a record of his keystrokes in order. In this string, the letter  0  stands for the  0  key, the letter  1  stands for the  1  key and the letter  B  stands for the backspace key. What string is displayed in the editor now? 
 
 
 
 
 Constraints 
 1 ≦ |s| ≦ 10  ( |s|  denotes the length of  s ) 
 s  consists of the letters  0 ,  1  and  B . 
 The correct answer is not an empty string. 
 
 
 
 
 
 
 
 Input The input is given from Standard Input in the following format: 
 s 
 
 
 
 
 
 Output Print the string displayed in the editor in the end. 
 
 
 
 
 
 
 "
5,p02829.html,"
 Problem Statement 
 Takahashi is solving quizzes. He has easily solved all but the last one. 
 The last quiz has three choices:  1 ,  2 , and  3 . 
 With his supernatural power, Takahashi has found out that the choices  A  and  B  are both wrong. 
 Print the correct choice for this problem. 
 
 
 
 
 Constraints 
 
 Each of the numbers  A  and  B  is  1 ,  2 , or  3 . 
 A  and  B  are different. 
 
 
 
 
 
 
 
 Input 
 Input is given from Standard Input in the following format: 
 A 
 B 
 
 
 
 
 
 Output 
 Print the correct choice. 
 
 
 
 
 
 
 "
6,p03293.html,"
 Problem Statement You are given string  S  and  T  consisting of lowercase English letters. 
 Determine if  S  equals  T  after  rotation . 
 That is, determine if  S  equals  T  after the following operation is performed some number of times: 
 Operation: Let  S = S_1 S_2 ... S_{|S|} . Change  S  to  S_{|S|} S_1 S_2 ... S_{|S|-1} . 
 Here,  |X|  denotes the length of the string  X . 
 
 
 
 
 Constraints 
 2 \leq |S| \leq 100 
 |S| = |T| 
 S  and  T  consist of lowercase English letters. 
 
 
 
 
 
 
 
 Input Input is given from Standard Input in the following format: 
 S 
 T 
 
 
 
 
 
 Output If  S  equals  T  after  rotation , print  Yes ; if it does not, print  No . 
 
 
 
 
 
 
 "
7,p02785.html,"
 Problem Statement Fennec is fighting with  N  monsters. 
 The  health  of the  i -th monster is  H_i . 
 Fennec can do the following two actions: 
 
 Attack: Fennec chooses one monster. That monster's health will decrease by  1 . 
 Special Move: Fennec chooses one monster. That monster's health will become  0 . 
 
 There is no way other than Attack and Special Move to decrease the monsters' health. 
 Fennec wins when all the monsters' healths become  0  or below. 
 Find the minimum number of times Fennec needs to do Attack (not counting Special Move) before winning when she can use Special Move at most  K  times. 
 
 
 
 
 Constraints 
 1 \leq N \leq 2 \times 10^5 
 0 \leq K \leq 2 \times 10^5 
 1 \leq H_i \leq 10^9 
 All values in input are integers. 
 
 
 
 
 
 
 
 Input Input is given from Standard Input in the following format: 
 N   K 
 H_1   ...   H_N 
 
 
 
 
 
 Output Print the minimum number of times Fennec needs to do Attack (not counting Special Move) before winning. 
 
 
 
 
 
 
 "
8,p02391.html,"
 Small, Large, or Equal 
 
Write a program which prints small/large/equal relation of given two integers  a  and  b .
 
 Input 
 
  Two integers  a  and  b  separated by a single space are given in a line.
 
 Output 
 
For given two integers  a  and  b , print
 
 
a < b
 
 
  if  a  is less than  b ,
 
 
a > b
 
 
  if  a  is greater than  b , and
 
 
a == b
 
 
  if  a  equals to  b .
 
 Constraints 
 
  -1000 ≤  a ,  b  ≤ 1000 
 
 "
9,p03220.html,"
 Problem Statement A country decides to build a palace. 
 In this country, the average temperature of a point at an elevation of  x  meters is  T-x \times 0.006  degrees Celsius. 
 There are  N  places proposed for the place. The elevation of Place  i  is  H_i  meters. 
 Among them, Princess Joisino orders you to select the place whose average temperature is the closest to  A  degrees Celsius, and build the palace there. 
 Print the index of the place where the palace should be built. 
 It is guaranteed that the solution is unique. 
 
 
 
 
 Constraints 
 1 \leq N \leq 1000 
 0 \leq T \leq 50 
 -60 \leq A \leq T 
 0 \leq H_i \leq 10^5 
 All values in input are integers. 
 The solution is unique. 
 
 
 
 
 
 
 
 Input Input is given from Standard Input in the following format: 
 N 
 T   A 
 H_1   H_2   ...   H_N 
 
 
 
 
 
 Output Print the index of the place where the palace should be built. 
 
 
 
 
 
 
 "
